                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.81583,                0.62277,                0.99963,                0.98833,                0.96154,                0.96446,                0.78306,                0.89006,                0.50631,                0.87609,             0.00042527,             0.00042527,             0.00042527
                     36,                0.80321,                0.59632,                0.99028,                0.98624,                0.96154,                0.96251,                0.79475,                 1.1318,                0.57118,                0.90768,             0.00042437,             0.00042437,             0.00042437
                     37,                0.77283,                0.58708,                0.97782,                0.97611,                0.95891,                0.96341,                0.78384,                0.96493,                0.54027,                0.91094,             0.00042347,             0.00042347,             0.00042347
                     38,                0.77887,                0.56959,                0.97764,                0.98109,                0.96154,                0.96607,                0.78708,                  1.161,                0.54754,                0.89167,             0.00042257,             0.00042257,             0.00042257
                     39,                0.75516,                0.52894,                 0.9706,                0.96727,                0.96154,                 0.9624,                0.81398,                0.85098,                0.45849,                0.84072,             0.00042167,             0.00042167,             0.00042167
                     40,                0.75677,                0.54608,                 0.9774,                0.98689,                0.94071,                0.96466,                0.79816,                0.88854,                0.47024,                0.87941,             0.00042077,             0.00042077,             0.00042077
                     41,                0.75201,                 0.5385,                0.97549,                0.98357,                0.91987,                0.96238,                0.75297,                 1.0687,                0.54623,                0.96635,             0.00041986,             0.00041986,             0.00041986
                     42,                0.72332,                0.52023,                0.95838,                0.98236,                0.94071,                0.97267,                0.78974,                0.92934,                0.51229,                0.94163,             0.00041896,             0.00041896,             0.00041896
                     43,                0.77834,                0.53496,                0.97725,                0.98413,                0.94071,                0.96718,                0.78186,                0.98316,                0.54963,                0.93408,             0.00041806,             0.00041806,             0.00041806
                     44,                0.74467,                0.53305,                0.96569,                0.98389,                0.95864,                0.96446,                0.79297,                 1.1479,                0.60711,                 1.0132,             0.00041716,             0.00041716,             0.00041716
                     45,                0.72844,                0.52809,                0.96478,                0.98295,                0.96154,                 0.9652,                  0.814,                0.71497,                0.41091,                0.84946,             0.00041626,             0.00041626,             0.00041626
                     46,                0.72952,                0.53523,                0.95885,                0.98665,                0.96154,                0.99033,                 0.7988,                0.97852,                0.47617,                0.88161,             0.00041536,             0.00041536,             0.00041536
                     47,                0.70784,                0.51248,                0.94419,                  0.991,                0.94071,                0.96421,                0.76884,                 1.3544,                 0.6497,                 1.0253,             0.00041446,             0.00041446,             0.00041446
                     48,                0.71479,                0.51774,                0.96003,                0.97814,                 0.9567,                0.96968,                0.80325,                0.95559,                 0.5368,                0.88351,             0.00041356,             0.00041356,             0.00041356
                     49,                 0.7164,                0.51899,                 0.9545,                0.97986,                0.94071,                0.96919,                0.80116,                   1.12,                 0.5541,                0.90642,             0.00041266,             0.00041266,             0.00041266
                     50,                0.74134,                0.51811,                0.97272,                0.98048,                0.94071,                0.96251,                 0.7972,                0.92405,                0.49763,                0.85429,             0.00041176,             0.00041176,             0.00041176
                     51,                0.73704,                0.53778,                0.96382,                0.98651,                0.96154,                0.96273,                0.80071,                 0.6441,                0.39994,                0.82807,             0.00041086,             0.00041086,             0.00041086
                     52,                 0.7211,                 0.5332,                0.95614,                0.97548,                0.95969,                0.96428,                0.80337,                0.92085,                0.56956,                 0.8743,             0.00040995,             0.00040995,             0.00040995
                     53,                0.71358,                0.50495,                0.94706,                0.98746,                0.95837,                 0.9925,                0.81088,                0.93225,                0.43499,                0.88511,             0.00040905,             0.00040905,             0.00040905
                     54,                0.71348,                0.49789,                0.94902,                0.98124,                0.96154,                0.98528,                0.81408,                0.99913,                0.44634,                0.89208,             0.00040815,             0.00040815,             0.00040815
                     55,                 0.7141,                0.49528,                0.96617,                0.98596,                0.95731,                0.96317,                0.77908,                 1.2871,                0.53224,                0.96525,             0.00040725,             0.00040725,             0.00040725
                     56,                0.71382,                0.50714,                0.96437,                0.98824,                0.96154,                0.96575,                0.80092,                0.99779,                0.46662,                0.88767,             0.00040635,             0.00040635,             0.00040635
                     57,                0.68465,                0.47274,                0.93977,                0.98759,                0.96154,                0.97468,                0.79731,                 1.0329,                0.45222,                0.90459,             0.00040545,             0.00040545,             0.00040545
                     58,                0.68237,                 0.4681,                0.94515,                0.98812,                0.96154,                0.97978,                0.83939,                0.91551,                0.43105,                0.88274,             0.00040455,             0.00040455,             0.00040455
                     59,                0.66685,                0.46654,                0.93323,                0.98279,                0.94071,                0.96311,                0.83422,                0.92727,                0.50771,                0.87503,             0.00040365,             0.00040365,             0.00040365
                     60,                0.66738,                0.48615,                0.93737,                0.98264,                0.96154,                0.96428,                0.78831,                 1.0355,                0.58626,                0.86404,             0.00040275,             0.00040275,             0.00040275
                     61,                0.67742,                0.48147,                0.94425,                0.98101,                0.95785,                0.96575,                0.78915,                 1.1698,                0.62107,                0.90943,             0.00040185,             0.00040185,             0.00040185
                     62,                0.67292,                0.47706,                0.94613,                0.97315,                0.94071,                0.96223,                0.78218,                 1.2144,                0.66255,                0.93216,             0.00040095,             0.00040095,             0.00040095
                     63,                0.66296,                0.48236,                 0.9301,                0.96705,                0.95332,                0.96649,                0.81181,                 1.0178,                0.51715,                0.92793,             0.00040005,             0.00040005,             0.00040005
                     64,                0.66797,                0.48311,                0.94334,                0.98302,                0.93756,                0.98087,                0.78488,                 1.1103,                0.61483,                0.96456,             0.00039914,             0.00039914,             0.00039914
                     65,                0.67499,                0.45439,                0.94513,                0.98558,                0.94071,                0.96083,                0.75238,                0.91958,                 0.4842,                 0.8892,             0.00039824,             0.00039824,             0.00039824
                     66,                0.66681,                0.46812,                0.93718,                0.98923,                0.94071,                0.98448,                 0.7937,                 1.0341,                0.51962,                0.88961,             0.00039734,             0.00039734,             0.00039734
                     67,                0.62937,                0.46143,                0.92112,                0.98784,                0.96154,                 0.9704,                0.75764,                  1.384,                0.65993,                  1.003,             0.00039644,             0.00039644,             0.00039644
                     68,                0.65709,                0.47744,                0.94645,                 0.9894,                0.91987,                0.95599,                0.81195,                0.83996,                0.46468,                0.86554,             0.00039554,             0.00039554,             0.00039554
                     69,                0.64997,                0.48341,                0.93796,                0.98244,                0.96154,                 0.9659,                0.80124,                0.91017,                0.45955,                0.85816,             0.00039464,             0.00039464,             0.00039464
                     70,                0.65022,                 0.4644,                0.92765,                0.97875,                0.96154,                0.97149,                0.80112,                0.97519,                0.47144,                0.87932,             0.00039374,             0.00039374,             0.00039374
                     71,                0.64227,                0.45779,                0.93812,                0.97767,                0.95913,                0.98844,                0.82066,                 1.0362,                0.52685,                0.87551,             0.00039284,             0.00039284,             0.00039284
                     72,                0.63019,                0.44739,                0.92467,                0.98959,                0.94071,                0.96436,                0.79621,                 1.0793,                0.48255,                0.89197,             0.00039194,             0.00039194,             0.00039194
                     73,                0.65037,                0.45279,                0.93729,                0.97448,                0.94071,                0.96234,                0.81172,                 1.0893,                0.56539,                0.92758,             0.00039104,             0.00039104,             0.00039104
                     74,                0.64529,                0.45292,                0.92974,                0.98335,                0.96098,                0.96728,                 0.8193,                 0.6848,                  0.377,                0.83334,             0.00039014,             0.00039014,             0.00039014
                     75,                0.64714,                0.44212,                0.93112,                0.99038,                0.96154,                0.96624,                0.79858,                 1.0468,                0.47516,                0.89212,             0.00038923,             0.00038923,             0.00038923
                     76,                0.66253,                0.46708,                0.94505,                0.97317,                0.96154,                 0.9639,                0.77557,                 1.1727,                0.54767,                0.94128,             0.00038833,             0.00038833,             0.00038833
                     77,                0.63004,                0.44689,                0.92517,                0.98582,                0.96154,                 0.9652,                0.79611,                 1.1297,                0.46554,                0.90492,             0.00038743,             0.00038743,             0.00038743
                     78,                0.61838,                0.43738,                0.92105,                0.98894,                0.95998,                0.96321,                0.78828,                 1.1635,                0.48954,                0.93811,             0.00038653,             0.00038653,             0.00038653
                     79,                0.63438,                0.45766,                 0.9357,                0.98333,                0.96154,                0.96624,                0.80702,                0.94351,                0.45281,                0.94034,             0.00038563,             0.00038563,             0.00038563
                     80,                0.61765,                0.44215,                0.91465,                0.97938,                0.95869,                0.96705,                0.82477,                 1.2161,                0.52714,                0.93847,             0.00038473,             0.00038473,             0.00038473
                     81,                0.62876,                0.44073,                0.91603,                0.99133,                0.94071,                0.96196,                0.81596,                0.95647,                0.48334,                 0.8652,             0.00038383,             0.00038383,             0.00038383
                     82,                0.61784,                0.42798,                 0.9153,                0.97869,                0.96154,                 0.9925,                0.81904,                 1.1789,                 0.5667,                0.92794,             0.00038293,             0.00038293,             0.00038293
                     83,                 0.5991,                0.43249,                0.89932,                0.98885,                0.96154,                0.97896,                0.80899,                 1.3192,                0.60118,                0.95989,             0.00038203,             0.00038203,             0.00038203
                     84,                0.63428,                0.43684,                0.91914,                0.97564,                0.96032,                0.98676,                0.80677,                  1.177,                0.51936,                0.91078,             0.00038113,             0.00038113,             0.00038113
                     85,                0.60683,                0.42926,                0.92247,                0.98926,                0.95996,                0.96705,                0.83246,                0.94861,                0.50824,                0.85856,             0.00038023,             0.00038023,             0.00038023
                     86,                0.60432,                0.40838,                0.91688,                 0.9828,                0.94071,                0.96177,                0.82899,                0.83069,                0.43116,                0.84964,             0.00037932,             0.00037932,             0.00037932
                     87,                0.60281,                0.41244,                0.90349,                0.96933,                0.96154,                0.95952,                0.80219,                0.75371,                0.45529,                0.88251,             0.00037842,             0.00037842,             0.00037842
                     88,                0.59601,                0.41553,                0.91456,                0.97024,                0.96154,                0.97182,                0.80039,                0.99823,                0.50346,                 0.8982,             0.00037752,             0.00037752,             0.00037752
                     89,                0.58287,                0.40725,                0.90406,                0.99036,                0.96154,                0.97092,                0.79779,                 1.1884,                0.50211,                0.91481,             0.00037662,             0.00037662,             0.00037662
                     90,                0.58248,                 0.4062,                0.90877,                0.97826,                0.95885,                0.96662,                0.80059,                 1.0646,                0.47001,                 0.8818,             0.00037572,             0.00037572,             0.00037572
                     91,                0.58491,                0.41828,                0.91625,                0.98412,                 0.9594,                0.96993,                0.80255,                 1.0238,                0.44665,                0.91303,             0.00037482,             0.00037482,             0.00037482
                     92,                0.59443,                0.42726,                0.92308,                0.97314,                0.95913,                 0.9678,                0.79396,                 1.0653,                0.52605,                0.93183,             0.00037392,             0.00037392,             0.00037392
                     93,                0.58448,                0.41819,                0.90844,                0.98062,                0.96154,                0.97034,                0.78513,                 1.1185,                0.54938,                0.93411,             0.00037302,             0.00037302,             0.00037302
                     94,                0.58872,                 0.4197,                0.90055,                0.95082,                0.94071,                0.96956,                0.79792,                0.86136,                0.52852,                0.86719,             0.00037212,             0.00037212,             0.00037212
                     95,                0.57965,                0.40973,                0.90324,                0.99234,                0.93709,                0.96416,                0.80109,                0.84346,                0.46599,                0.85499,             0.00037122,             0.00037122,             0.00037122
                     96,                0.60375,                0.41691,                 0.9051,                0.98432,                0.96154,                0.96496,                0.80412,                 0.9056,                 0.5515,                 0.8639,             0.00037032,             0.00037032,             0.00037032
                     97,                0.59048,                0.41556,                0.90519,                0.98869,                0.96154,                 0.9695,                0.82243,                 1.0088,                 0.6065,                0.93396,             0.00036941,             0.00036941,             0.00036941
                     98,                0.58293,                0.40702,                0.89987,                0.96496,                0.99748,                  0.995,                0.83236,                 1.0267,                0.50408,                0.90195,             0.00036851,             0.00036851,             0.00036851
                     99,                0.58381,                0.39678,                0.90718,                0.99004,                0.96154,                 0.9925,                0.83121,                0.95308,                0.42763,                0.87736,             0.00036761,             0.00036761,             0.00036761
                    100,                0.57913,                0.41231,                0.89957,                0.98724,                0.96154,                0.97149,                0.81706,                0.88478,                0.39878,                0.86973,             0.00036671,             0.00036671,             0.00036671
                    101,                0.57053,                0.41577,                0.90347,                0.99067,                0.94071,                0.96729,                0.82197,                 0.8779,                0.48691,                0.87053,             0.00036581,             0.00036581,             0.00036581
                    102,                0.58199,                0.41257,                0.91018,                0.98982,                0.96154,                 0.9656,                0.82691,                 1.0789,                 0.5294,                0.89769,             0.00036491,             0.00036491,             0.00036491
                    103,                0.58421,                0.41635,                0.91143,                0.98943,                 0.9609,                 0.9691,                0.81088,                  1.124,                0.61149,                0.93579,             0.00036401,             0.00036401,             0.00036401
                    104,                0.56708,                0.40871,                0.90597,                0.98471,                0.96154,                 0.9678,                0.79046,                 1.2441,                0.68787,                0.95959,             0.00036311,             0.00036311,             0.00036311
                    105,                0.55119,                0.39263,                0.90094,                0.97016,                0.96132,                 0.9684,                0.80921,                 1.1062,                0.59157,                0.89174,             0.00036221,             0.00036221,             0.00036221
                    106,                0.54295,                0.39646,                0.88801,                0.97847,                0.96154,                0.96575,                0.82405,                0.88692,                0.43094,                0.85697,             0.00036131,             0.00036131,             0.00036131
                    107,                0.55584,                0.39173,                0.89647,                0.98171,                0.96154,                0.96683,                0.83223,                0.90115,                0.39078,                0.86967,             0.00036041,             0.00036041,             0.00036041
                    108,                0.55768,                  0.392,                0.90325,                0.98198,                0.96154,                0.96728,                0.81171,                 1.1293,                  0.492,                0.92372,              0.0003595,              0.0003595,              0.0003595
                    109,                0.53613,                0.38297,                0.88884,                0.96568,                0.96154,                 0.9659,                0.78177,                 1.4252,                0.61726,                 1.0444,              0.0003586,              0.0003586,              0.0003586
                    110,                0.52095,                0.37705,                0.87751,                  0.991,                0.96154,                0.96705,                0.81728,                 1.1081,                0.53118,                0.91629,              0.0003577,              0.0003577,              0.0003577
                    111,                0.55654,                0.39837,                0.89488,                0.99084,                0.96154,                0.96533,                 0.8067,                 1.0899,                0.51912,                0.88532,              0.0003568,              0.0003568,              0.0003568
                    112,                0.55643,                0.38146,                0.90066,                0.99103,                0.96154,                0.96607,                0.83963,                0.78122,                0.40379,                0.82962,              0.0003559,              0.0003559,              0.0003559
                    113,                0.54661,                0.39683,                0.89467,                0.97807,                0.96154,                0.99033,                0.83631,                 1.0068,                 0.5053,                0.87959,               0.000355,               0.000355,               0.000355
                    114,                0.52669,                0.38071,                0.88075,                0.98968,                0.96154,                0.96993,                0.82354,                 1.0111,                0.44798,                0.90004,              0.0003541,              0.0003541,              0.0003541
                    115,                0.53458,                0.36343,                0.87863,                0.99389,                0.96154,                0.96993,                0.83058,                0.95837,                0.45207,                0.86003,              0.0003532,              0.0003532,              0.0003532
                    116,                0.54922,                0.39326,                 0.9037,                0.99422,                0.96154,                0.97365,                0.80396,                 1.1567,                0.60064,                0.90602,              0.0003523,              0.0003523,              0.0003523
                    117,                0.54331,                0.38451,                0.88744,                0.99131,                0.96154,                0.96428,                0.80432,                 1.1819,                 0.7166,                0.90365,              0.0003514,              0.0003514,              0.0003514
                    118,                 0.5292,                0.38154,                0.88343,                0.99104,                0.96154,                0.96993,                0.83317,                 1.0411,                0.57619,                0.89483,              0.0003505,              0.0003505,              0.0003505
                    119,                0.53423,                0.37552,                0.88965,                0.99429,                0.96154,                0.96546,                0.81529,                0.92624,                0.50798,                0.91011,             0.00034959,             0.00034959,             0.00034959
                    120,                0.52966,                0.37748,                0.88441,                0.99211,                0.96154,                0.96446,                0.80849,                 1.0539,                0.61581,                0.87696,             0.00034869,             0.00034869,             0.00034869
                    121,                 0.5239,                0.37325,                0.88085,                0.99002,                0.96154,                 0.9925,                0.82426,                 1.1114,                0.55092,                0.90566,             0.00034779,             0.00034779,             0.00034779
                    122,                0.51281,                0.36353,                0.88285,                0.99683,                0.98806,                  0.995,                0.82774,                 1.0496,                0.55861,                0.89591,             0.00034689,             0.00034689,             0.00034689
                    123,                0.52881,                  0.371,                0.87983,                0.97657,                0.97095,                 0.9942,                0.84533,                 1.0892,                0.62914,                0.91407,             0.00034599,             0.00034599,             0.00034599
                    124,                0.51895,                0.37187,                0.88647,                0.99062,                0.96154,                0.99033,                 0.8442,                 1.0831,                0.61111,                0.89756,             0.00034509,             0.00034509,             0.00034509
                    125,                0.52544,                0.37672,                0.88896,                0.99111,                0.96154,                0.96809,                 0.8367,                0.66574,                0.37382,                0.81916,             0.00034419,             0.00034419,             0.00034419
                    126,                0.52704,                0.37074,                0.89693,                0.99039,                0.96154,                0.96624,                0.81887,                0.84959,                0.41556,                0.87205,             0.00034329,             0.00034329,             0.00034329
                    127,                0.54451,                0.37878,                0.89847,                0.99014,                0.96154,                0.96662,                 0.7924,                 1.1683,                0.61614,                0.94936,             0.00034239,             0.00034239,             0.00034239
                    128,                0.54354,                0.37944,                0.87993,                 0.9886,                0.96154,                 0.9782,                0.82929,                  1.009,                0.51408,                0.88057,             0.00034149,             0.00034149,             0.00034149
                    129,                0.53739,                0.38202,                0.89321,                0.98922,                0.96154,                 0.9695,                0.80643,                 1.1077,                0.46764,                0.93212,             0.00034059,             0.00034059,             0.00034059
                    130,                0.51866,                0.37106,                0.88399,                0.99021,                0.96154,                0.96683,                0.83268,                0.97264,                0.46689,                 0.9382,             0.00033968,             0.00033968,             0.00033968
                    131,                0.50738,                0.35444,                0.88349,                0.98956,                0.96061,                 0.9684,                0.80792,                 1.1374,                0.54523,                 1.0219,             0.00033878,             0.00033878,             0.00033878
                    132,                 0.5223,                0.36408,                0.88492,                0.99668,                 0.9714,                  0.995,                0.86932,                0.80293,                0.43721,                0.88551,             0.00033788,             0.00033788,             0.00033788
                    133,                0.52132,                0.35316,                0.88871,                0.99033,                0.96154,                 0.9925,                0.85793,                 0.9112,                0.39248,                0.87944,             0.00033698,             0.00033698,             0.00033698
                    134,                0.50694,                0.36676,                0.87851,                0.98501,                0.96154,                 0.9775,                0.82245,                 1.0785,                  0.579,                0.98442,             0.00033608,             0.00033608,             0.00033608
                    135,                0.52221,                0.37863,                0.88857,                 0.9874,                0.96154,                0.98275,                0.85409,                 0.9251,                0.50416,                0.85576,             0.00033518,             0.00033518,             0.00033518
                    136,                0.51312,                 0.3657,                0.88378,                0.98509,                0.96154,                0.96728,                0.82534,                 1.1056,                0.59216,                0.93269,             0.00033428,             0.00033428,             0.00033428
                    137,                0.50352,                0.34573,                0.87145,                0.99036,                0.96154,                0.96809,                0.83081,                 1.1715,                0.57155,                0.98981,             0.00033338,             0.00033338,             0.00033338
                    138,                0.52001,                 0.3712,                0.88241,                0.99083,                0.96154,                0.96624,                0.80727,                 1.1435,                0.58592,                0.93961,             0.00033248,             0.00033248,             0.00033248
