                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1253,                 8.5592,                 1.9175,                 0.4587,                0.44551,                 0.3777,                0.22621,                 1.6525,                 6.0069,                  1.458,              0.0001483,              0.0001483,              0.0001483
                      2,                 1.2628,                 2.8278,                 1.2715,                0.78455,                0.67532,                0.82154,                0.57312,                  1.959,                 2.0476,                 1.8326,             0.00029937,             0.00029937,             0.00029937
                      3,                 1.1906,                 1.9793,                 1.2348,                0.77276,                0.76986,                0.73851,                0.55594,                 1.6844,                 2.4402,                  1.108,             0.00044984,             0.00044984,             0.00044984
                      4,                 1.1818,                  1.553,                 1.2355,                0.82855,                0.69071,                0.82582,                0.60808,                 1.8478,                 1.7684,                 1.7746,              0.0004523,              0.0004523,              0.0004523
                      5,                 1.1542,                 1.4246,                 1.2116,                0.84622,                0.83453,                0.89758,                0.66592,                  1.346,                 1.2756,                 1.0538,              0.0004523,              0.0004523,              0.0004523
                      6,                 1.1702,                 1.2697,                 1.2526,                0.87555,                0.87107,                0.93257,                0.72544,                0.90267,                 1.2276,                0.95884,              0.0004514,              0.0004514,              0.0004514
                      7,                 1.0585,                 1.0995,                  1.122,                0.95889,                0.95627,                0.95899,                0.77155,                0.80393,                0.78404,                 1.0161,              0.0004505,              0.0004505,              0.0004505
                      8,                 1.0273,                0.97019,                 1.1112,                0.94456,                0.95622,                 0.9582,                0.74028,                0.90402,                0.75834,                0.91411,             0.00044959,             0.00044959,             0.00044959
                      9,                0.97197,                0.93015,                 1.0767,                0.97409,                0.91987,                0.94311,                0.71562,                0.90534,                0.79013,                0.90735,             0.00044869,             0.00044869,             0.00044869
                     10,                0.97021,                0.89904,                 1.0551,                0.95622,                0.93301,                0.95425,                0.74942,                 1.1426,                0.71388,                0.96919,             0.00044779,             0.00044779,             0.00044779
                     11,                0.98991,                0.90404,                 1.1065,                0.90148,                0.93143,                0.94415,                 0.7057,                 1.0397,                0.72742,                 0.9229,             0.00044689,             0.00044689,             0.00044689
                     12,                0.97215,                 0.8777,                  1.083,                0.93388,                0.82965,                0.89338,                0.69768,                  1.015,                0.77217,                0.89663,             0.00044599,             0.00044599,             0.00044599
                     13,                0.95295,                0.80325,                 1.0571,                0.94666,                0.96154,                0.96036,                0.77163,                0.86819,                0.60458,                0.87868,             0.00044509,             0.00044509,             0.00044509
                     14,                0.92914,                0.78782,                 1.0732,                0.91644,                0.94071,                0.96043,                 0.7311,                 1.1516,                  0.667,                0.96088,             0.00044419,             0.00044419,             0.00044419
                     15,                0.94047,                0.78999,                 1.0716,                0.99582,                0.91143,                0.96084,                0.71478,                 1.3219,                0.78998,                 1.0451,             0.00044329,             0.00044329,             0.00044329
